amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba	order-item-id	is-prime
405-9642863-6701963	405-9642863-6701963	2026-09-05T06:30:35+00:00	2026-09-06T08:33:16+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0					40.0	GURUGRAM	HARYANA	122101	IN		false				false	67362075206482	false
406-6225963-0647520	406-6225963-0647520	2026-09-05T04:59:38+00:00	2026-09-05T17:04:14+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Insta Mosquito Vaporizer - Ayurvedic Mosquito Repellent | 1 Machine + 2 Refills (45ml Each)	catche insta mosquito vapouriser	B08KXSSKSV		Shipped	1	INR	210.0								LUCKNOW	UTTAR PRADESH	226014	IN		false				false	67361485742162	false
405-6383901-9311538	405-6383901-9311538	2026-09-04T18:28:34+00:00	2026-09-05T08:15:02+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0					40.0	KEKRI	RAJASTHAN	305404	IN		false				false	67351539715082	false
403-8869887-0560358	403-8869887-0560358	2026-09-04T18:27:13+00:00	2026-09-05T04:31:59+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Insta Mosquito Vaporizer - Ayurvedic Mosquito Repellent | 1 Machine + 2 Refills (45ml Each)	catche insta mosquito vapouriser	B08KXSSKSV		Shipped	1	INR	210.0								BENGALURU	KARNATAKA	560060	IN		false				false	67351430556762	false
405-8332529-6241166	405-8332529-6241166	2026-09-04T17:36:52+00:00	2026-09-05T03:40:03+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0						SONIPAT	HARYANA	131022	IN		false				false	67349883671602	false
406-1499449-8384324	406-1499449-8384324	2026-09-04T15:09:39+00:00	2026-09-06T17:44:24+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0								GHAZIABAD	UTTAR PRADESH	201002	IN		false				false	67344037428842	false
406-1515480-3587568	406-1515480-3587568	2026-09-04T15:03:26+00:00	2026-09-05T10:06:07+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0								THANE	MAHARASHTRA	401107	IN		false				false	67344954241762	false
403-6983829-5929940	403-6983829-5929940	2026-09-04T12:56:09+00:00	2026-09-04T22:31:22+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0						MANGALPADY	KERALA	671324	IN		false				false	67338304623242	false
406-8650192-7062761	406-8650192-7062761	2026-09-04T12:41:03+00:00	2026-09-04T14:28:33+00:00	Cancelled	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Cancelled	0										NEW DELHI	DELHI	110017	IN		false				false	67338024446882	false
404-5979209-0936345	404-5979209-0936345	2026-09-04T10:46:55+00:00	2026-09-06T18:02:04+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0								INDORE	MADHYA PRADESH	452016	IN		false				false	67332800182522	false
